//cycle 1 
001001 //(out_x1, out_y1) = (1, 1)
010001 //(out_x2, out_y2) = (2, 1)
011001 //(out_x3, out_y3) = (3, 1)
100001 //(out_x4, out_y4) = (4, 1)
001010 //(out_x5, out_y5) = (1, 2)
010010 //(out_x6, out_y6) = (2, 2)
011010 //(out_x7, out_y7) = (3, 2)
001011 //(out_x8, out_y8) = (1, 3)
010011 //(out_x9, out_y9) = (2, 3)
011011 //(out_x10, out_y10) = (3, 3)
001100 //(out_x11, out_y11) = (1, 4)
010100 //(out_x12, out_y12) = (2, 4)
001101 //(out_x13, out_y13) = (1, 5)
010101 //(out_x14, out_y14) = (2, 5)
001110 //(out_x15, out_y15) = (1, 6)
001111 //(out_x16, out_y16) = (1, 7)
//cycle 2 
001001 //(out_x1, out_y1) = (1, 1)
010001 //(out_x2, out_y2) = (2, 1)
011001 //(out_x3, out_y3) = (3, 1)
100001 //(out_x4, out_y4) = (4, 1)
101001 //(out_x5, out_y5) = (5, 1)
110001 //(out_x6, out_y6) = (6, 1)
111001 //(out_x7, out_y7) = (7, 1)
001010 //(out_x8, out_y8) = (1, 2)
010010 //(out_x9, out_y9) = (2, 2)
011010 //(out_x10, out_y10) = (3, 2)
100010 //(out_x11, out_y11) = (4, 2)
001011 //(out_x12, out_y12) = (1, 3)
