// Reset
0 1 0
// Enqueue [10]
0 0 0
// Enqueue [20, 10]
0 0 0
// Dequeue [20]
10 0 0
// Enqueue [30, 20]
0 0 0
// Enqueue [40, 30, 20]
0 0 0
// Dequeue [40, 30]
20 0 0
// Clear []
0 1 0
// Enqueue [50]
0 0 0
// Dequeue []
50 1 0
// Enqueue [60]
0 0 0
// Enqueue [70, 60]
0 0 0
// Enqueue [80, 70, 60]
0 0 0
// Enqueue [90, 80, 70, 60]
0 0 0
// Enqueue [100, 90, 80, 70, 60]
0 0 0
// Enqueue [110, 100, 90, 80, 70, 60]
0 0 0
// Enqueue [120, 110, 100, 90, 80, 70, 60]
0 0 0
// Enqueue [130, 120, 110, 100, 90, 80, 70, 60]
0 0 1
// Dequeue [130, 120, 110, 100, 90, 80, 70]
60 0 0
// Enqueue [140, 130, 120, 110, 100, 90, 80, 70]
0 0 1
// Clear []
0 1 0
// Enqueue [150]
0 0 0
// Dequeue []
150 1 0
