D092      //Pixel 0: 53394
E7E2      //Pixel 1: 59362
2083      //Pixel 2: 8323
E9D4      //Pixel 3: 59860
A1E3      //Pixel 4: 41443
18F9      //Pixel 5: 6393
474C      //Pixel 6: 18252
8C01      //Pixel 7: 35841
F520      //Pixel 8: 62752
F703      //Pixel 9: 63235
285A      //Pixel 10: 10330
F879      //Pixel 11: 63609
F509      //Pixel 12: 62729
7C42      //Pixel 13: 31810
CCE0      //Pixel 14: 52448
2453      //Pixel 15: 9299
6BF9      //Pixel 16: 27641
EA6E      //Pixel 17: 60014
CACF      //Pixel 18: 51919
F5A2      //Pixel 19: 62882
A7DF      //Pixel 20: 42975
925      //Pixel 21: 2341
D961      //Pixel 22: 55649
EF1B      //Pixel 23: 61211
ADC2      //Pixel 24: 44482
C1FC      //Pixel 25: 49660
BE3E      //Pixel 26: 48702
6469      //Pixel 27: 25705
A7CE      //Pixel 28: 42958
2BD3      //Pixel 29: 11219
B4C0      //Pixel 30: 46272
827      //Pixel 31: 2087
827      //Pixel 32: 2087
B4C0      //Pixel 33: 46272
2BD3      //Pixel 34: 11219
A7CE      //Pixel 35: 42958
6469      //Pixel 36: 25705
BE3E      //Pixel 37: 48702
C1FC      //Pixel 38: 49660
ADC2      //Pixel 39: 44482
EF1B      //Pixel 40: 61211
D961      //Pixel 41: 55649
925      //Pixel 42: 2341
A7DF      //Pixel 43: 42975
F5A2      //Pixel 44: 62882
CACF      //Pixel 45: 51919
EA6E      //Pixel 46: 60014
6BF9      //Pixel 47: 27641
2453      //Pixel 48: 9299
CCE0      //Pixel 49: 52448
7C42      //Pixel 50: 31810
F509      //Pixel 51: 62729
F879      //Pixel 52: 63609
285A      //Pixel 53: 10330
F703      //Pixel 54: 63235
F520      //Pixel 55: 62752
8C01      //Pixel 56: 35841
474C      //Pixel 57: 18252
18F9      //Pixel 58: 6393
A1E3      //Pixel 59: 41443
E9D4      //Pixel 60: 59860
2083      //Pixel 61: 8323
E7E2      //Pixel 62: 59362
D092      //Pixel 63: 53394
E413      //Pixel 64: 58387
F595      //Pixel 65: 62869
8C17      //Pixel 66: 35863
237D      //Pixel 67: 9085
2639      //Pixel 68: 9785
41ED      //Pixel 69: 16877
D73A      //Pixel 70: 55098
4119      //Pixel 71: 16665
D075      //Pixel 72: 53365
3E58      //Pixel 73: 15960
EDE5      //Pixel 74: 60901
5999      //Pixel 75: 22937
3255      //Pixel 76: 12885
4048      //Pixel 77: 16456
9DB6      //Pixel 78: 40374
792A      //Pixel 79: 31018
5A07      //Pixel 80: 23047
D4B2      //Pixel 81: 54450
95D4      //Pixel 82: 38356
8CBB      //Pixel 83: 36027
EACE      //Pixel 84: 60110
492D      //Pixel 85: 18733
C1D8      //Pixel 86: 49624
C0F5      //Pixel 87: 49397
6165      //Pixel 88: 24933
915D      //Pixel 89: 37213
136C      //Pixel 90: 4972
DD0      //Pixel 91: 3536
87E3      //Pixel 92: 34787
C778      //Pixel 93: 51064
EF1C      //Pixel 94: 61212
2142      //Pixel 95: 8514
2142      //Pixel 96: 8514
EF1C      //Pixel 97: 61212
C778      //Pixel 98: 51064
87E3      //Pixel 99: 34787
DD0      //Pixel 100: 3536
136C      //Pixel 101: 4972
915D      //Pixel 102: 37213
6165      //Pixel 103: 24933
C0F5      //Pixel 104: 49397
C1D8      //Pixel 105: 49624
492D      //Pixel 106: 18733
EACE      //Pixel 107: 60110
8CBB      //Pixel 108: 36027
95D4      //Pixel 109: 38356
D4B2      //Pixel 110: 54450
5A07      //Pixel 111: 23047
792A      //Pixel 112: 31018
9DB6      //Pixel 113: 40374
4048      //Pixel 114: 16456
3255      //Pixel 115: 12885
5999      //Pixel 116: 22937
EDE5      //Pixel 117: 60901
3E58      //Pixel 118: 15960
D075      //Pixel 119: 53365
4119      //Pixel 120: 16665
D73A      //Pixel 121: 55098
41ED      //Pixel 122: 16877
2639      //Pixel 123: 9785
237D      //Pixel 124: 9085
