008F      //The golden pattern 1 of FIR filter , 0: 5.585938e-001
00D8      //The golden pattern 1 of FIR filter , 1: 8.437500e-001
00FB      //The golden pattern 1 of FIR filter , 2: 9.804688e-001
00F4      //The golden pattern 1 of FIR filter , 3: 9.531250e-001
00C2      //The golden pattern 1 of FIR filter , 4: 7.578125e-001
006F      //The golden pattern 1 of FIR filter , 5: 4.335938e-001
0009      //The golden pattern 1 of FIR filter , 6: 3.515625e-002
FFA2      //The golden pattern 1 of FIR filter , 7: -3.671875e-001
FF4B      //The golden pattern 1 of FIR filter , 8: -7.070313e-001
FF12      //The golden pattern 1 of FIR filter , 9: -9.296875e-001
FF03      //The golden pattern 1 of FIR filter , 10: -9.882813e-001
FF1F      //The golden pattern 1 of FIR filter , 11: -8.789063e-001
FF62      //The golden pattern 1 of FIR filter , 12: -6.171875e-001
FFC0      //The golden pattern 1 of FIR filter , 13: -2.500000e-001
0028      //The golden pattern 1 of FIR filter , 14: 1.562500e-001
008A      //The golden pattern 1 of FIR filter , 15: 5.390625e-001
00D5      //The golden pattern 1 of FIR filter , 16: 8.320313e-001
00FA      //The golden pattern 1 of FIR filter , 17: 9.765625e-001
00F5      //The golden pattern 1 of FIR filter , 18: 9.570313e-001
00C6      //The golden pattern 1 of FIR filter , 19: 7.734375e-001
0075      //The golden pattern 1 of FIR filter , 20: 4.570313e-001
000F      //The golden pattern 1 of FIR filter , 21: 5.859375e-002
FFA8      //The golden pattern 1 of FIR filter , 22: -3.437500e-001
FF4F      //The golden pattern 1 of FIR filter , 23: -6.914063e-001
FF15      //The golden pattern 1 of FIR filter , 24: -9.179688e-001
FF03      //The golden pattern 1 of FIR filter , 25: -9.882813e-001
FF1C      //The golden pattern 1 of FIR filter , 26: -8.906250e-001
FF5D      //The golden pattern 1 of FIR filter , 27: -6.367188e-001
FFBA      //The golden pattern 1 of FIR filter , 28: -2.734375e-001
0022      //The golden pattern 1 of FIR filter , 29: 1.328125e-001
0085      //The golden pattern 1 of FIR filter , 30: 5.195313e-001
00D1      //The golden pattern 1 of FIR filter , 31: 8.164063e-001
00F9      //The golden pattern 1 of FIR filter , 32: 9.726563e-001
00F7      //The golden pattern 1 of FIR filter , 33: 9.648438e-001
00CA      //The golden pattern 1 of FIR filter , 34: 7.890625e-001
007A      //The golden pattern 1 of FIR filter , 35: 4.765625e-001
0015      //The golden pattern 1 of FIR filter , 36: 8.203125e-002
FFAE      //The golden pattern 1 of FIR filter , 37: -3.203125e-001
FF54      //The golden pattern 1 of FIR filter , 38: -6.718750e-001
FF17      //The golden pattern 1 of FIR filter , 39: -9.101563e-001
FF02      //The golden pattern 1 of FIR filter , 40: -9.921875e-001
FF19      //The golden pattern 1 of FIR filter , 41: -9.023438e-001
FF58      //The golden pattern 1 of FIR filter , 42: -6.562500e-001
FFB4      //The golden pattern 1 of FIR filter , 43: -2.968750e-001
001C      //The golden pattern 1 of FIR filter , 44: 1.093750e-001
0080      //The golden pattern 1 of FIR filter , 45: 5.000000e-001
00CE      //The golden pattern 1 of FIR filter , 46: 8.046875e-001
00F8      //The golden pattern 1 of FIR filter , 47: 9.687500e-001
00F8      //The golden pattern 1 of FIR filter , 48: 9.687500e-001
00CE      //The golden pattern 1 of FIR filter , 49: 8.046875e-001
0080      //The golden pattern 1 of FIR filter , 50: 5.000000e-001
001C      //The golden pattern 1 of FIR filter , 51: 1.093750e-001
FFB4      //The golden pattern 1 of FIR filter , 52: -2.968750e-001
FF58      //The golden pattern 1 of FIR filter , 53: -6.562500e-001
FF19      //The golden pattern 1 of FIR filter , 54: -9.023438e-001
FF02      //The golden pattern 1 of FIR filter , 55: -9.921875e-001
FF17      //The golden pattern 1 of FIR filter , 56: -9.101563e-001
FF54      //The golden pattern 1 of FIR filter , 57: -6.718750e-001
FFAE      //The golden pattern 1 of FIR filter , 58: -3.203125e-001
0015      //The golden pattern 1 of FIR filter , 59: 8.203125e-002
007A      //The golden pattern 1 of FIR filter , 60: 4.765625e-001
00CA      //The golden pattern 1 of FIR filter , 61: 7.890625e-001
00F7      //The golden pattern 1 of FIR filter , 62: 9.648438e-001
00F9      //The golden pattern 1 of FIR filter , 63: 9.726563e-001
00D1      //The golden pattern 1 of FIR filter , 64: 8.164063e-001
0085      //The golden pattern 1 of FIR filter , 65: 5.195313e-001
0022      //The golden pattern 1 of FIR filter , 66: 1.328125e-001
FFBA      //The golden pattern 1 of FIR filter , 67: -2.734375e-001
FF5D      //The golden pattern 1 of FIR filter , 68: -6.367188e-001
FF1C      //The golden pattern 1 of FIR filter , 69: -8.906250e-001
FF03      //The golden pattern 1 of FIR filter , 70: -9.882813e-001
FF15      //The golden pattern 1 of FIR filter , 71: -9.179688e-001
FF4F      //The golden pattern 1 of FIR filter , 72: -6.914063e-001
FFA8      //The golden pattern 1 of FIR filter , 73: -3.437500e-001
000F      //The golden pattern 1 of FIR filter , 74: 5.859375e-002
0075      //The golden pattern 1 of FIR filter , 75: 4.570313e-001
00C6      //The golden pattern 1 of FIR filter , 76: 7.734375e-001
00F5      //The golden pattern 1 of FIR filter , 77: 9.570313e-001
00FA      //The golden pattern 1 of FIR filter , 78: 9.765625e-001
00D5      //The golden pattern 1 of FIR filter , 79: 8.320313e-001
008A      //The golden pattern 1 of FIR filter , 80: 5.390625e-001
0028      //The golden pattern 1 of FIR filter , 81: 1.562500e-001
